Team Number,Total Wins,Total Losses,Total Ties,Lifetime Win Rate,Lifetime Matches Played,Total Season Wins,Total Season Losses,Total Season Ties,Lifetime Season Win Rate,Total Season Matches Played,2019 Wins,2019 Losses,2019 Ties,2019 Win Rate,2019 Total Matches,2019 Season Wins,2019 Season Losses,2019 Season Ties,2019 Season Win Rate,2019 Season Total Matches,2018 Wins,2018 Losses,2018 Ties,2018 Win Rate,2018 Total Matches,2018 Season Wins,2018 Season Losses,2018 Season Ties,2018 Season Win Rate,2018 Season Total Matches,2017 Wins,2017 Losses,2017 Ties,2017 Win Rate,2017 Total Matches,2017 Season Wins,2017 Season Losses,2017 Season Ties,2017 Season Win Rate,2017 Season Total Matches,2016 Wins,2016 Losses,2016 Ties,2016 Win Rate,2016 Total Matches,2016 Season Wins,2016 Season Losses,2016 Season Ties,2016 Season Win Rate,2016 Season Total Matches,2015 Wins,2015 Losses,2015 Ties,2015 Win Rate,2015 Total Matches,2015 Season Wins,2015 Season Losses,2015 Season Ties,2015 Season Win Rate,2015 Season Total Matches,2014 Wins,2014 Losses,2014 Ties,2014 Win Rate,2014 Total Matches,2014 Season Wins,2014 Season Losses,2014 Season Ties,2014 Season Win Rate,2014 Season Total Matches,2013 Wins,2013 Losses,2013 Ties,2013 Win Rate,2013 Total Matches,2013 Season Wins,2013 Season Losses,2013 Season Ties,2013 Season Win Rate,2013 Season Total Matches,2012 Wins,2012 Losses,2012 Ties,2012 Win Rate,2012 Total Matches,2012 Season Wins,2012 Season Losses,2012 Season Ties,2012 Season Win Rate,2012 Season Total Matches,2011 Wins,2011 Losses,2011 Ties,2011 Win Rate,2011 Total Matches,2011 Season Wins,2011 Season Losses,2011 Season Ties,2011 Season Win Rate,2011 Season Total Matches,2010 Wins,2010 Losses,2010 Ties,2010 Win Rate,2010 Total Matches,2010 Season Wins,2010 Season Losses,2010 Season Ties,2010 Season Win Rate,2010 Season Total Matches,2009 Wins,2009 Losses,2009 Ties,2009 Win Rate,2009 Total Matches,2009 Season Wins,2009 Season Losses,2009 Season Ties,2009 Season Win Rate,2009 Season Total Matches,2008 Wins,2008 Losses,2008 Ties,2008 Win Rate,2008 Total Matches,2008 Season Wins,2008 Season Losses,2008 Season Ties,2008 Season Win Rate,2008 Season Total Matches,2007 Wins,2007 Losses,2007 Ties,2007 Win Rate,2007 Total Matches,2007 Season Wins,2007 Season Losses,2007 Season Ties,2007 Season Win Rate,2007 Season Total Matches,2006 Wins,2006 Losses,2006 Ties,2006 Win Rate,2006 Total Matches,2006 Season Wins,2006 Season Losses,2006 Season Ties,2006 Season Win Rate,2006 Season Total Matches,2005 Wins,2005 Losses,2005 Ties,2005 Win Rate,2005 Total Matches,2005 Season Wins,2005 Season Losses,2005 Season Ties,2005 Season Win Rate,2005 Season Total Matches,2004 Wins,2004 Losses,2004 Ties,2004 Win Rate,2004 Total Matches,2004 Season Wins,2004 Season Losses,2004 Season Ties,2004 Season Win Rate,2004 Season Total Matches,2003 Wins,2003 Losses,2003 Ties,2003 Win Rate,2003 Total Matches,2003 Season Wins,2003 Season Losses,2003 Season Ties,2003 Season Win Rate,2003 Season Total Matches
11,533,418,14,56.05%,965,491,376,364,56.63%,880,48,36,1,57.14%,85,45,33,1,57.69%,79,33,41,1,44.59%,75,20,28,1,41.67%,49,44,35,1,55.70%,80,36,30,1,54.55%,67,41,39,0,51.25%,80,37,28,0,56.92%,65,48,43,2,52.75%,93,48,43,2,52.75%,93,51,37,0,57.95%,88,47,32,0,59.49%,79,70,24,2,74.47%,96,60,19,1,75.95%,80,38,33,0,53.52%,71,38,33,0,53.52%,71,25,17,0,59.52%,42,25,17,0,59.52%,42,12,18,3,40.00%,33,12,18,3,40.00%,33,17,14,0,54.84%,31,17,14,0,54.84%,31,27,12,0,69.23%,39,27,12,0,69.23%,39,8,12,3,40.00%,23,8,12,3,40.00%,23,23,12,0,65.71%,35,23,12,0,65.71%,35,14,16,0,46.67%,30,14,16,0,46.67%,30,27,17,1,61.36%,45,27,17,1,61.36%,45,7,12,0,36.84%,19,7,12,0,36.84%,19
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,596,242,18,71.12%,856,524,202,197,72.18%,735,26,15,0,63.41%,41,26,15,0,63.41%,41,44,12,7,78.57%,63,37,11,0,77.08%,48,33,14,0,70.21%,47,33,14,0,70.21%,47,39,14,3,73.58%,56,35,8,2,81.40%,45,33,20,1,62.26%,54,28,14,1,66.67%,43,55,14,1,79.71%,70,43,7,0,86.00%,50,36,30,0,54.55%,66,31,26,0,54.39%,57,83,16,0,83.84%,99,63,9,0,87.50%,72,35,7,0,83.33%,42,35,7,0,83.33%,42,37,11,3,77.08%,51,37,11,3,77.08%,51,29,14,1,67.44%,44,25,10,1,71.43%,36,44,16,0,73.33%,60,34,14,0,70.83%,48,23,24,0,48.94%,47,18,21,0,46.15%,39,19,17,1,52.78%,37,19,17,1,52.78%,37,8,3,0,72.73%,11,8,3,0,72.73%,11,24,9,0,72.73%,33,24,9,0,72.73%,33,28,6,1,82.35%,35,28,6,1,82.35%,35
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,14,27,1,34.15%,42,14,27,8,34.15%,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,1,27.27%,12,3,8,1,27.27%,12,0,0,0,0,0,0,0,0,0,0,11,19,0,36.67%,30,11,19,0,36.67%,30
20,446,296,8,60.11%,750,381,215,215,63.93%,603,39,7,0,84.78%,46,39,7,0,84.78%,46,38,26,0,59.38%,64,30,16,0,65.22%,46,29,26,2,52.73%,57,24,18,1,57.14%,43,43,33,0,56.58%,76,32,15,0,68.09%,47,28,27,0,50.91%,55,24,22,0,52.17%,46,47,35,0,57.32%,82,33,19,0,63.46%,52,45,19,0,70.31%,64,36,8,0,81.82%,44,15,21,1,41.67%,37,15,21,1,41.67%,37,18,23,0,43.90%,41,18,23,0,43.90%,41,27,16,2,62.79%,45,27,16,2,62.79%,45,29,12,1,70.73%,42,24,9,1,72.73%,34,43,11,1,79.63%,55,36,8,1,81.82%,45,10,19,1,34.48%,30,8,12,1,40.00%,21,8,6,0,57.14%,14,8,6,0,57.14%,14,19,7,0,73.08%,26,19,7,0,73.08%,26,8,8,0,50.00%,16,8,8,0,50.00%,16,0,0,0,0,0,0,0,0,0,0
21,148,180,8,45.12%,336,144,174,162,45.28%,326,9,9,0,50.00%,18,9,9,0,50.00%,18,9,11,0,45.00%,20,9,11,0,45.00%,20,7,11,0,38.89%,18,7,11,0,38.89%,18,10,15,0,40.00%,25,10,12,0,45.45%,22,8,12,0,40.00%,20,8,12,0,40.00%,20,19,15,0,55.88%,34,15,12,0,55.56%,27,10,13,1,43.48%,24,10,13,1,43.48%,24,7,7,0,50.00%,14,7,7,0,50.00%,14,11,10,0,52.38%,21,11,10,0,52.38%,21,6,12,3,33.33%,21,6,12,3,33.33%,21,13,14,0,48.15%,27,13,14,0,48.15%,27,3,4,1,42.86%,8,3,4,1,42.86%,8,1,7,0,12.50%,8,1,7,0,12.50%,8,13,10,0,56.52%,23,13,10,0,56.52%,23,10,8,1,55.56%,19,10,8,1,55.56%,19,6,10,2,37.50%,18,6,10,2,37.50%,18,6,12,0,33.33%,18,6,12,0,33.33%,18
22,48,44,0,52.17%,92,48,44,36,52.17%,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,37.50%,16,6,10,0,37.50%,16,17,11,0,60.71%,28,17,11,0,60.71%,28,19,15,0,55.88%,34,19,15,0,55.88%,34,6,8,0,42.86%,14,6,8,0,42.86%,14
23,46,46,1,50.00%,93,44,40,40,52.38%,85,14,15,1,48.28%,30,14,15,1,48.28%,30,17,13,0,56.67%,30,17,13,0,56.67%,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,50.00%,10,5,5,0,50.00%,10,10,13,0,43.48%,23,8,7,0,53.33%,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,650,286,13,69.44%,949,627,270,262,69.90%,908,22,23,1,48.89%,46,22,23,1,48.89%,46,78,19,0,80.41%,97,73,16,0,82.02%,89,45,26,2,63.38%,73,39,22,1,63.93%,62,49,18,0,73.13%,67,49,18,0,73.13%,67,46,26,0,63.89%,72,46,26,0,63.89%,72,36,26,0,58.06%,62,36,26,0,58.06%,62,28,33,0,45.90%,61,24,29,0,45.28%,53,63,21,0,75.00%,84,63,21,0,75.00%,84,31,15,1,67.39%,47,31,15,1,67.39%,47,41,5,2,89.13%,48,41,5,2,89.13%,48,26,12,3,68.42%,41,26,12,3,68.42%,41,35,17,2,67.31%,54,27,12,1,69.23%,40,32,8,2,80.00%,42,32,8,2,80.00%,42,45,5,0,90.00%,50,45,5,0,90.00%,50,23,14,0,62.16%,37,23,14,0,62.16%,37,14,10,0,58.33%,24,14,10,0,58.33%,24,36,8,0,81.82%,44,36,8,0,81.82%,44
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
